session_id,network_packet_size,protocol_type,login_attempts,session_duration,encryption_used,ip_reputation_score,failed_logins,browser_type,unusual_time_access,attack_detected
30,379,1,1,-0.4387738264367178,1,-1.3091483061712557,0,0,0,0
31,870,2,2,-0.1506225323572792,1,-0.3344219146608205,1,0,0,1
32,497,1,1,-0.3067482814911005,2,-1.6717875782090479,1,0,1,0
33,288,0,2,0.3132066584522845,0,-1.247742193418091,3,0,0,1
34,664,1,6,1.0910758622754166,2,0.3398123482785057,2,0,1,0
35,255,1,2,-0.6662326808283857,0,1.049799989087634,1,0,1,0
36,541,1,5,-0.8015382015217253,2,-1.0913634432073382,2,0,0,0
37,108,1,7,3.219796217938201,0,-1.421356637924755,2,2,0,1
38,234,1,5,1.0369452243091852,1,1.77545641410881,4,2,0,1
39,539,1,4,-0.5477047369869125,1,-0.12726432343617386,0,0,0,0
40,647,1,2,1.2823786644887685,2,-0.18148149581534975,1,0,0,0
41,534,1,4,0.12142781117687851,0,-1.6626842342400272,3,0,0,1
42,476,1,4,-0.42281172979800125,1,0.3729731059331692,2,1,0,0
43,439,1,5,1.094349413666193,2,-0.4855366051711389,2,0,0,0
44,204,1,4,0.1361561378258965,1,0.033769685346913006,1,0,0,0
45,356,1,2,0.7733572049035353,1,1.9282578137614261,1,0,0,1
46,407,1,7,-0.45774964712591626,1,-1.4085986805257804,3,1,1,1
47,711,1,5,0.6225630212159606,0,-0.6992668665224896,2,1,0,1
48,568,1,6,-0.5428825243292712,0,1.1459318805986025,2,4,0,1
49,147,1,1,0.34315727807400903,0,-0.3836061405071557,1,1,0,0
50,564,1,2,-0.42622310969344174,2,-0.6300739371791146,1,1,1,0
51,422,1,5,-0.4794655808488824,0,0.761881004841688,1,0,0,0
52,364,1,5,0.6120942322281613,0,3.0449898903580834,2,2,0,1
53,622,1,6,-0.8720077833261067,2,-0.008178528690770228,1,2,1,1
54,706,1,4,1.6711396637227143,1,0.759240058037088,2,1,1,0
55,686,1,3,-0.2850594642192242,1,1.593370737165956,1,2,0,1
56,332,1,2,0.020213772666402823,0,-0.8866523654157953,2,0,0,0
57,438,1,4,-0.4793511992782109,1,-0.6440155016860986,1,0,0,0
58,566,2,5,0.04797872549252056,1,1.532453180614551,1,2,0,1
59,695,2,1,0.2506413348743176,0,-0.40592352439602697,2,1,0,1
60,404,1,9,1.055374551183513,1,-0.5399323815592143,2,0,0,1
61,462,1,5,0.9518044667542083,0,-1.6442445618643835,2,0,0,0
62,278,1,8,-0.5574177696957417,0,1.017439129405603,2,1,0,1
63,260,2,6,-0.03478639331153866,0,1.1790401598103488,1,0,0,0
64,662,1,3,0.5348083088267959,2,0.694648096928126,1,3,0,0
65,771,0,6,0.46446024924904405,2,-1.1037654197778577,2,0,1,0
66,485,1,5,1.2457758553803353,2,0.5924132566128486,2,0,0,0
67,700,1,6,0.8060653955845263,1,-0.7426073960302009,4,0,0,1
68,572,1,10,0.2790945370028404,1,-0.9418979770592524,1,0,0,1
69,370,1,1,0.3974715638933822,0,0.4363808301126235,2,0,0,1
70,572,1,6,0.6676517835537484,0,-0.7108582162042941,0,1,0,0
71,807,1,3,0.8426964840510629,0,1.6696315590357191,0,4,0,1
72,492,1,4,-0.565534956964767,0,-0.3808309365194196,1,1,0,1
73,812,2,7,0.5405417641076526,1,1.8082869067582754,2,0,0,1
74,64,1,6,2.0230917732007954,2,1.022569073860904,1,0,0,0
75,664,1,3,-0.738111026447137,2,-1.2743213177381856,0,0,0,0
76,517,1,5,-0.957581760570455,1,0.02650349441907683,1,1,0,1
77,440,2,5,-0.9314287996243329,1,0.08643634678427002,1,0,0,0
78,518,2,7,-0.759427153765449,0,0.6539913717114633,0,0,0,1
79,102,1,3,1.5583601847454533,2,-0.6956950500047957,2,1,0,0
80,456,1,5,-0.8699606519172038,1,-1.2506033710512645,2,2,0,0
81,571,1,5,0.39241303882424144,1,0.8493541639366935,2,0,1,0
82,795,1,6,1.044348997654174,0,-0.8561370539425804,2,0,0,1
83,396,1,6,1.1278315988694976,2,1.5770070006238333,0,0,0,1
84,338,2,2,-0.4595144575618514,0,-0.03303194334888175,1,1,0,0
85,399,1,3,-0.31246573628735014,2,1.4905925948914758,0,0,0,0
86,683,1,5,-0.6107403068556775,0,0.05776164996891382,3,2,0,1
87,565,1,8,-0.8457403725088267,0,-0.7517297006122606,2,0,1,1
88,394,2,4,-0.7653142135115011,0,0.297316401009219,1,0,0,1
89,602,1,4,-0.8606123595957219,0,-0.2745223654374712,1,0,1,1
90,519,1,3,-0.4754775870437867,0,0.9941243694923168,2,2,1,0
91,693,1,4,-0.8179266288091497,1,2.3434191963325643,2,1,0,1
92,359,1,4,-0.4825283433363626,0,0.36572613317271857,3,0,0,1
93,434,2,7,0.9297673845744348,1,-0.3723039963711121,0,2,0,1
94,421,1,7,0.07310437110134557,1,2.285703193287515,3,3,0,1
95,207,2,4,0.09764483839426095,0,-0.8530711520347548,3,2,0,1
96,559,1,3,0.6912830052219929,0,-0.28716541352567754,1,3,0,0
97,552,1,2,-0.9650787841482762,0,-0.10930162714373023,0,2,0,0
98,501,2,3,0.6015363246757057,0,0.15943625497079175,2,2,0,0
99,453,1,5,-0.7855385582861727,0,0.611604545408655,2,2,0,0
100,216,1,6,-0.5760734015542122,0,2.6051703771280836,0,1,0,1
101,415,1,2,-0.6333404354721319,0,-0.7148684721116113,3,0,0,1
102,431,1,2,-0.8942912868796505,0,-1.7498831341551808,2,2,0,0
103,339,1,3,-0.8137938474207722,1,0.43653471792218185,2,2,0,0
104,467,0,1,2.1771315589104336,0,-0.6849130438234012,2,0,0,0
105,580,0,3,-0.07522377976477697,1,-0.5028520689089583,2,0,0,0
106,877,1,4,-0.3544865679013291,2,-0.8456184334010316,0,1,0,1
107,534,1,4,0.4343350165500226,2,1.7176076135848086,2,0,0,1
108,551,1,5,0.7014611617000448,1,-0.6547337147797919,0,2,0,0
109,485,1,6,-0.8890381180911253,1,0.42327237185137967,2,0,0,0
110,116,1,4,0.3657754142075422,0,0.7395558394956299,0,1,0,0
111,494,1,6,1.732266211827512,0,0.4339674869978453,1,2,0,0
112,512,1,6,-0.11228998018550736,1,-0.6212209500054072,1,0,1,0
113,992,1,2,-0.03926671082889216,1,-1.63002242081443,1,2,0,0
114,461,1,3,1.0704097994975275,1,-1.3608791409181544,1,1,0,1
115,560,1,5,0.14939678684368338,1,-0.21159811988313684,2,0,0,0
116,493,2,1,4.436911817861404,1,0.5408162231721709,1,4,0,0
117,266,1,5,-0.6699341688569681,2,-0.11648597362870558,2,3,1,1
118,728,1,9,0.8914805544086132,1,0.07186543604110936,0,0,0,1
119,650,1,9,-0.0438633468413978,2,0.37091072000002845,1,0,1,1
120,658,1,3,-0.5447948108764968,1,0.5163274760651813,1,0,0,0
121,318,1,2,1.1748979128464523,1,-0.8905913275335954,1,1,0,0
122,780,1,5,4.672568230180352,2,1.0274537148298466,1,0,0,0
123,219,0,4,-0.9472552451837822,1,-1.3964366190116155,3,2,1,1
124,617,1,5,1.6337771813018769,0,2.40047179693418,1,2,0,1
125,938,1,5,-0.7769442776812884,0,-0.013463937293023259,2,2,0,0
126,301,1,6,-0.7742898717575702,0,-0.3804524663113663,2,2,0,0
127,386,0,1,-0.9644818280529457,2,-0.22026146658369072,1,0,1,0
128,519,2,8,1.5892232225157397,0,-0.5506575164560465,3,0,0,1
129,399,2,6,0.44108991636842126,0,2.178778122244015,1,0,0,1
130,189,1,1,-0.9519943479028203,0,-0.03689686819662908,2,0,0,0
131,513,0,3,0.013141974938708594,0,-1.04972092721301,0,0,1,0
132,287,1,6,-0.8776905267006812,2,-1.5098032325800599,1,0,0,1
133,594,1,9,0.4078512922308528,0,-0.7326187032271093,1,2,0,1
134,316,2,3,-0.4728449792352115,1,-1.299779634129426,0,0,0,1
135,809,2,4,-0.9537897381023156,0,-0.8314737267213601,1,4,0,1
136,343,1,5,0.7908314957028871,0,-1.24938206445605,3,1,1,1
137,435,1,4,-0.14374844223851005,0,-0.44970547547331785,3,3,0,1
138,662,1,1,0.4996877436885112,0,0.986250366690368,2,0,0,0
139,253,1,1,0.13380384334732418,1,-0.5265945324806229,4,4,0,1
140,545,1,4,-0.42826501323414723,0,-0.38879231726784275,3,4,0,1
141,761,0,1,0.2121703032405066,0,-0.868050294679258,2,0,0,0
142,178,1,3,-0.992746221218234,0,-0.25397118073005676,1,1,1,0
143,536,2,3,-0.5856526125866316,1,2.0995990200369645,0,2,0,1
144,551,2,3,0.5222599706392621,1,-1.2047222171948833,2,0,0,0
145,656,1,5,0.4566971728105294,0,0.07827659882197846,1,0,0,0
146,252,2,4,1.2134508731687133,0,-0.14021211584487364,0,2,0,1
147,235,1,3,-0.04743558763695308,0,-0.4536310012224181,3,0,0,1
148,604,1,3,1.8915573606854315,2,2.6672495233642097,0,0,0,1
149,559,1,3,-0.17812969362951056,0,-1.1221191489116757,2,0,0,0
150,550,1,1,-0.3019487169485408,2,0.1902289961960724,2,0,0,0
151,569,2,7,-0.7844397343970245,2,1.0462893041998862,1,0,1,1
152,363,0,6,0.5267706794631646,0,0.11120111054138174,2,0,0,0
153,546,1,5,0.19010313999601808,0,0.06952430524523665,1,0,0,0
154,558,2,9,-0.37971497467846316,1,-0.09542191726579524,2,3,0,1
155,357,1,9,-0.9151677767668923,1,-0.7439016775203865,2,1,0,1
156,873,2,3,-0.8712337737897236,1,-1.5809901192442872,2,0,0,0
157,594,1,3,-0.8842275008359322,0,0.4309185922943533,4,0,0,1
158,261,1,10,-0.5288532972080823,2,-0.5115776299777393,1,3,0,1
159,631,1,6,-0.8317682423087693,0,-1.3022973685491483,1,0,0,0
160,305,1,6,0.997980262976845,0,0.08792776381670157,1,1,0,0
161,657,1,6,1.3274366396098352,2,-1.038852761047672,3,0,0,1
162,731,2,5,0.9686383283442638,1,-0.43129915798139246,2,2,0,1
163,335,1,3,-0.053147725288966614,1,-1.1753428369344376,3,0,0,1
164,692,2,7,-0.08514151414292945,2,1.082882804040988,2,0,0,1
165,582,2,5,1.2457072016053805,0,-0.5559799137413148,1,0,0,0
166,664,1,8,-0.4775596725551743,0,0.22422045002140178,2,1,0,1
167,879,1,5,-0.9423911656142525,2,-1.3000508277406377,0,2,0,1
168,450,2,1,-0.3613824457508043,0,-0.415225444490752,2,0,0,0
169,349,1,8,-0.18729073941435706,0,-0.49972068991510077,1,0,0,1
170,322,1,1,-0.19694937225405554,0,-0.7417910372168948,1,0,0,0
171,336,1,2,-0.8317361875337163,2,-1.209101623750831,2,0,0,1
172,484,1,5,0.548038144034483,0,0.363574185084813,1,0,1,1
173,568,0,5,0.33127861473474635,1,-0.8026156798431009,2,1,0,1
174,555,1,5,-0.7422271341764245,0,1.2438017456609305,1,0,0,0
175,665,1,6,-0.19292965592554243,1,0.9540480485476539,3,2,0,1
176,502,1,12,0.5810416243838105,1,-0.18695642441244492,1,2,0,1
177,790,2,4,-1.000017450361139,1,-0.7583771153113226,2,2,0,1
178,447,2,3,-0.6805678835723387,0,-1.4881142926685365,0,2,1,0
179,1044,1,4,-0.35821893586555104,0,0.9544321602892497,2,1,0,0
180,625,1,1,0.8885295519789497,0,-0.5762577502008495,3,0,0,1
181,328,1,4,0.6238362446242254,2,-0.2949078994802776,2,0,0,0
182,285,1,7,-0.8413793741415198,1,-0.4328002616683176,2,0,1,1
183,596,1,2,-0.37597123318356696,0,-1.204573104044916,2,0,0,0
184,455,0,2,-0.6383346978318206,2,0.41545637580343797,2,2,0,0
185,642,1,1,-0.48587635898964104,2,-0.43924993220264796,2,0,0,0
186,594,1,4,-0.21668389039236494,0,2.7074369389185655,2,0,0,1
187,485,2,4,-0.30421318831237054,1,-1.3536887164206908,2,0,0,0
188,330,1,2,-0.8525996150534967,0,1.2392825729129422,0,1,0,0
189,197,1,7,-0.8758929478430699,0,0.6364620809273426,2,1,0,1
190,410,1,5,-0.865907526229185,0,0.3367653745978779,1,1,0,0
191,671,1,4,0.8642534858660857,1,-1.252907110104538,3,4,0,1
192,542,2,5,-0.9873827463519397,0,-0.1162971143677222,1,2,1,0
193,250,1,4,-0.7778454326120231,0,-0.88083455727756,1,0,0,0
194,534,1,7,2.1665755149811257,1,-0.4865571697390318,1,0,0,1
195,577,1,5,-0.938394821412245,2,-0.17998920893283335,1,1,0,0
196,323,2,5,-0.9702339018881374,1,-0.30311995079695325,1,0,0,0
197,530,1,5,-0.5095645093745796,1,-0.1678150752805252,2,2,0,0
198,511,1,2,-0.8411301189334083,0,-1.086063783159464,2,0,0,0
199,271,0,3,-0.15944419546186048,1,-1.382673399062361,3,0,0,1
200,571,1,5,-0.5874326871160676,1,-1.3115709690454964,0,2,0,0
201,612,2,3,-0.7694394405277767,1,1.144957367232349,2,3,0,0
202,716,1,3,5.676949941185012,2,-1.4147706900376338,2,0,0,0
203,710,1,2,-0.5835453381843679,1,0.22525399935204635,3,2,0,1
204,224,1,5,0.03409195264371628,1,-0.38297767336841937,2,1,0,0
205,312,1,4,1.0999176954066023,0,-0.5360001662246677,1,0,0,0
206,603,1,8,1.5918331847891147,0,1.8066658507546864,3,0,0,1
207,602,1,7,-0.4709957494312449,0,-0.6560927043670425,3,1,0,1
208,603,1,1,2.7922104774001553,1,-0.31182947869703953,2,0,0,0
209,1270,1,5,0.30357310278284755,1,2.501922298106884,1,0,0,1
210,614,1,7,-0.1175763508698283,0,-1.0301859067761339,3,0,0,1
211,727,0,2,0.1941478332466228,0,1.8088944164694802,1,0,0,1
212,690,1,8,-0.5537318380850762,2,-0.6688066447166007,1,0,0,1
213,630,0,3,-0.4460739440091905,0,0.037264710497796324,2,1,0,0
214,436,1,2,-0.1102443193845381,0,0.15871015508244277,0,0,0,0
215,651,1,7,-0.6053376881393961,0,-0.32876943225455096,2,0,0,1
216,345,1,3,0.4816834849414637,2,0.28645955465682915,1,4,1,1
217,452,2,4,-0.7137910087470917,0,-0.8773712635975277,3,3,0,1
218,402,2,6,0.6129576167706211,0,0.4930039250555319,1,0,0,1
219,516,1,7,-0.8399830020925066,1,-0.4200490812147873,2,0,1,1
220,962,2,3,-0.7585532978109812,0,1.3288873686645541,1,0,1,0
221,126,1,2,0.41478391522372426,0,-0.45171580302504116,1,0,0,1
222,637,1,7,-0.6972864432595511,2,-1.1712136925220344,1,0,0,1
223,177,0,3,0.6059180052892951,2,-1.2326592516589097,1,2,0,0
224,405,2,5,0.5501865808606445,0,2.2516506155221547,0,0,0,1
225,717,0,3,-0.7053160693175314,0,1.5988870455690065,2,4,0,1
226,512,1,2,-0.93067774437054,0,0.543332940503271,3,0,1,1
227,284,1,5,-0.822800212801638,0,0.7974677337582922,1,2,0,0
228,356,1,5,0.4124501451904214,0,-0.5086706939254961,1,0,0,0
229,635,1,10,0.9014927620303919,0,-1.4609742224852797,3,2,0,1
230,353,2,5,-0.5166347804697725,0,0.5411856402121129,0,0,0,0
231,543,1,4,-0.8254099171198576,2,-0.943986142485917,0,1,0,0
232,509,1,5,-0.9280532591243417,0,1.8741575936006383,2,0,0,1
233,369,1,4,-0.7605979229139423,1,0.6233729024360521,1,0,0,0
234,928,1,5,2.955102453277689,0,-0.632708916300064,2,0,0,0
235,626,1,6,-0.8180155857033636,1,0.8819227979109604,1,0,0,1
236,94,1,3,-0.916216467409918,0,-0.9258517053888637,2,0,0,0
237,537,2,4,0.5577607525910758,0,-0.07809194945290174,0,0,0,0
238,367,1,6,-0.03595433015654745,2,1.2471187623505018,1,0,0,0
239,670,2,4,-0.22945264723581638,1,1.6996481814502034,2,0,0,1
240,341,1,4,-0.4037748314157323,1,-1.2252955618920243,1,0,0,1
241,477,1,5,0.22294310653665605,2,-0.8748633489145066,0,0,0,0
242,600,1,3,0.2111195596246258,2,-0.07558851924133561,1,1,0,0
243,673,2,5,-0.44603767798672217,0,-0.48298660524293724,3,0,0,1
244,259,1,3,-0.7364329793276061,0,1.4714395895460737,3,2,0,1
245,433,1,3,0.8640943977120014,1,0.7450840842353933,3,1,1,1
246,405,1,10,-0.8249188023109375,0,1.3537978264312107,1,0,0,1
247,369,1,3,-0.23123312087478085,0,-0.1346444126774977,2,2,0,0
248,853,2,4,0.19214290827243902,0,0.3719964619171714,3,2,0,1
249,580,2,2,0.028076603961811216,2,-1.1645608602278703,2,0,0,0
250,247,1,5,-0.026968470244878993,1,-1.1500217244646866,2,0,0,1
251,683,1,3,0.09690446286989962,2,-0.20304254687160747,0,0,0,0
252,924,2,6,1.1124520003646854,0,-0.24206574279858029,2,0,0,0
253,706,1,4,-0.5453446376797775,0,-0.46510632922772505,2,2,1,0
254,196,1,3,-0.0036450722480803844,0,-0.37998504773608205,1,0,0,0
255,403,1,3,0.2064491847100037,2,-0.3304616675317095,1,0,0,0
256,753,1,2,-0.1002204156658053,0,1.2725426275973248,2,1,0,0
257,358,1,2,1.3650728780999795,1,0.6569785170695455,1,3,1,0
258,588,2,2,0.07387931713293092,1,-0.6964331258087301,4,0,0,1
259,654,1,6,-0.446032075193998,1,-1.3103693433660313,0,1,0,0
260,314,1,6,0.8921819595753944,1,-1.415442630793918,3,3,0,1
261,488,2,5,-0.32387482977687576,0,-0.19779372135529483,0,0,0,0
262,64,1,4,-0.23958661544520113,0,-0.4838654315073712,1,0,0,1
263,295,1,4,-0.12000496111883663,1,0.6888665673966935,4,2,0,1
264,449,1,2,-0.6114376649513144,0,-0.16870562995562904,1,0,0,0
265,250,1,4,0.29612103753769964,0,-1.062111382347003,2,0,0,0
266,826,2,9,-0.9028181558567923,0,0.33189619222259475,1,0,0,1
267,213,2,3,1.058254327258545,0,-0.2060110806208834,1,0,0,0
268,411,1,4,0.42074898822173845,0,-1.4130349372410305,1,0,0,0
269,526,2,3,-0.5640211209824536,2,-0.5225785647484007,2,0,0,1
270,788,1,5,-0.746786088968209,1,-0.14799498102660902,2,1,1,0
271,212,2,6,-0.5086201108436696,0,0.21813780212533937,1,0,1,0
272,732,1,2,0.6550992954093487,0,-0.7869814851687656,4,1,0,1
273,502,1,6,-0.9752355258728719,2,-0.6435564714524804,3,0,0,1
274,303,1,4,-0.36611284365790436,2,-1.6661435326443907,1,0,0,0
275,592,1,1,-0.709676651023376,2,0.4339053815507687,2,1,0,0
276,539,1,2,1.106713768799767,0,-1.106032632220393,2,3,0,1
277,379,1,4,-0.4645711771807789,1,2.127444651286244,1,2,0,1
278,513,2,4,0.20958093811738554,0,-0.6827472256287312,1,0,0,1
279,422,1,5,-0.5572945587186974,0,-1.6470307235532837,1,3,0,1
280,522,0,7,-0.6009989019997155,0,2.1887049689581235,1,2,0,1
281,632,1,6,-0.6067890135390377,0,0.2819077189480295,2,2,0,0
282,817,1,7,0.14525476562805212,2,-0.6978732398555341,1,0,0,1
283,252,2,5,2.380002286606726,1,-0.04750929971793,2,2,0,0
284,926,1,6,-0.7704992132761856,0,-0.3754106438602902,1,0,0,0
285,109,2,3,0.04232659561567555,2,0.9916954069663453,2,2,0,0
286,469,2,3,-0.694116654793604,0,0.30420911390361166,3,0,0,1
287,617,1,3,-0.19717981463469383,1,0.09435297661577416,1,0,0,1
288,556,1,3,-0.21452501467796883,1,-0.9167441114558217,1,2,0,0
289,375,1,3,-0.399726293234742,0,-0.563463716173373,3,0,0,1
290,458,1,6,-0.30562697183294957,1,-1.0334337076620665,3,0,0,1
291,401,1,4,1.1505896880532596,0,0.5844104985551932,2,0,0,0
292,382,2,5,-0.9134999078229493,0,-1.4283992942505315,2,4,0,1
293,669,1,1,0.7960658897774539,0,0.6856163115913049,1,0,1,0
294,571,1,3,-0.3767822241969608,0,-0.13147150134335545,4,2,0,1
295,361,1,4,-0.5950725121530142,2,-0.1261158203795623,0,3,0,0
296,679,0,1,-0.8095555641338856,0,0.11046182164151332,2,1,0,0
297,561,1,4,0.7073047842909378,1,0.5254695335403635,1,0,0,0
298,662,1,6,-0.09595199708683966,0,0.07315870216302146,3,0,0,1
299,625,1,7,0.3177418609491891,2,-0.6557000995128026,2,0,0,1
300,334,0,4,-0.6231170920679959,1,0.23099656182666786,3,0,0,1
301,387,0,2,-0.500175114145544,0,0.36278190721420844,1,2,0,0
302,649,1,3,1.4832607250830083,1,-0.13981452067785766,2,2,0,0
303,622,2,3,2.296528195556165,0,-1.5294070865074187,2,0,0,0
304,495,1,4,0.3616101743826863,0,2.0988862893532727,3,4,1,1
305,523,0,3,0.399785742822115,1,0.4263573850685472,0,0,0,0
306,755,1,1,0.19787169770521307,0,2.412950168752451,2,2,0,1
307,381,1,6,-0.10792868670144212,0,0.37708831547192645,2,2,1,1
308,609,1,5,-0.0883543385578079,1,-0.5277117954548319,4,0,1,1
309,459,1,7,2.3676199563043103,0,0.3046698051666185,2,0,1,1
310,456,2,2,0.4058334202478199,0,-0.7919035894426019,2,0,1,0
311,719,1,6,0.0755380009817214,0,-1.165775225655264,1,0,0,0
312,665,0,2,-0.7947095646816824,0,-0.11394294090452137,1,0,1,0
313,662,1,2,2.8321301769396063,2,-0.7095245989606517,0,0,0,0
314,761,1,5,-0.260731329895227,0,-0.6091899909453212,3,0,0,1
315,504,1,4,1.9185961884297213,0,-1.658153583906798,1,2,0,0
316,636,1,5,0.2637163396946551,0,1.1226972938802084,2,0,0,1
317,437,2,9,-0.9662584005854971,2,1.8299378885689415,2,0,0,1
318,564,1,5,-0.22028491211658638,0,2.0855551649874373,3,0,0,1
319,473,1,3,1.2622336528201994,0,-0.7043141534968039,1,2,0,0
320,519,1,3,-0.9537856064764788,0,-1.3381070560117916,3,1,0,1
321,619,1,1,1.0419323889801795,0,-0.24794695186214624,1,3,0,0
322,336,0,1,-0.041282997906125204,0,-0.9311097462837645,1,4,0,0
323,918,1,3,-0.9615362271998457,1,-1.3573056780678112,0,1,0,1
324,298,2,5,-0.5321074797597517,1,-1.1911726271928682,0,0,0,0
325,257,1,1,-0.9767050141669841,1,-1.572396096411907,2,0,0,0
326,731,1,2,-1.0061164418697022,0,1.4946216783926853,2,0,0,0
327,658,0,3,1.2983407930603303,0,-0.32820097313609375,1,2,0,1
328,624,1,4,0.396350653432285,2,0.34758459946547454,1,0,0,0
329,625,1,4,-0.6602772446171472,1,3.0357299020564708,3,0,0,1
330,497,1,5,-0.8850893134214822,0,-0.014995800054479109,1,2,0,1
331,320,1,5,-0.9509371221758763,0,-0.5122290613651864,0,0,0,0
332,515,2,4,1.526306991248551,0,0.5312907723547107,1,2,0,0
333,364,1,5,-0.008763570037890024,1,-0.5036700441813207,2,0,0,0
334,695,2,5,-0.8298540873557995,0,-0.3552878986956457,1,0,0,1
335,470,1,5,0.1556974364678428,2,0.2995942728667023,1,0,0,0
336,334,1,4,5.912436869578318,0,-1.0798958084603094,1,2,0,0
337,435,1,2,0.5699416312700264,0,-1.0267537394694661,0,0,0,0
338,582,1,4,-0.40620389451168976,0,-0.9877174181543034,0,0,0,0
339,387,0,3,0.7038518431972074,2,0.9893892121951444,3,0,0,1
340,335,1,10,0.37921564381186934,2,0.4991248301792127,2,2,0,1
341,548,1,2,-0.913445589378753,0,0.5372157757222158,0,0,0,0
342,548,2,8,1.6361543671693486,0,1.4683020245935374,1,0,0,1
343,398,2,1,1.1840151541924262,2,-1.7563059724728274,3,2,1,1
344,405,1,1,-0.09964186319235178,0,0.23888135285907428,1,2,1,0
345,546,2,5,-0.2861591900962686,0,-0.36724723662528275,0,1,1,0
346,210,1,5,-0.7450119254230512,2,-1.5837011305995332,3,0,0,1
347,218,1,2,0.8213973611091541,2,2.5010994163338545,1,3,0,1
348,356,1,5,-0.43276816949657626,0,0.1918637470041682,3,0,1,1
349,457,1,8,-0.1272176800632758,0,-1.6403210294221482,2,2,0,1
350,562,1,8,-0.8182429866728783,2,0.5942314121291314,1,1,0,1
351,795,1,5,-0.7631799107714032,0,1.042569652026721,4,1,0,1
352,671,1,3,3.2773447376841505,0,0.1854400143416765,3,2,0,1
353,468,2,5,-0.3150051184029704,0,-0.3734637695639786,1,4,0,1
354,496,0,3,0.7124606680807837,2,-0.4713646826366393,1,0,0,0
355,299,2,5,0.7927564065948778,0,1.4234285499304289,0,2,0,0
356,496,1,4,3.050865463147411,0,0.7678396258220759,3,0,0,1
357,442,1,2,3.1305730903530526,0,0.7381763592779612,3,0,0,1
358,564,1,10,-0.3868670769038869,2,-0.07162017301919577,2,0,0,1
359,334,1,3,2.0455944180976005,1,-1.3381261627986376,3,2,0,1
360,603,1,3,-0.545245508112501,1,1.6994796274548543,1,1,0,1
361,806,1,6,-0.056304273128575985,1,2.246645888741022,0,0,0,1
362,478,2,5,0.7459577871052587,1,1.2264953887469894,2,2,0,0
363,580,1,7,1.4849440875305895,0,-0.6654657649992616,4,0,0,1
364,638,1,4,-0.253185390788256,2,-0.7270104631105924,1,2,0,0
365,419,1,5,-0.45757544486916707,1,0.7330244849433806,1,0,1,0
366,544,1,3,0.31827496018960366,1,-0.5692955158345157,3,0,1,1
367,502,1,2,-0.38879035262804323,1,-0.5605798210508925,2,4,0,0
368,519,1,2,0.12531000146093488,0,1.0580085742290566,1,1,0,0
369,345,1,4,0.6507591172375533,0,-0.1058846353352845,2,2,1,0
370,504,1,5,0.8632221602992315,1,1.3094671818169836,1,0,0,0
371,599,1,5,-0.7093986743786601,0,-0.02028399389079339,2,2,1,0
372,790,2,6,-0.14601790200219344,0,-1.5500154805960322,1,0,0,0
373,691,2,7,-0.98207741229783,1,-1.303263073469629,1,2,1,1
374,930,1,6,0.6177275072297901,1,0.29866046662263473,3,1,0,1
